name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
A. H. J.,none,211292,"propeller, wood, passenger","1912, Elk Rapids, Mich as a gas screw vessel","38x10x4, 11g 9n","1922, Oct 2","off Cross Village, Mich",Michigan,storm,none,none,,"Foundered, no detail. Out of Grand Haven, Mich. Converted from gas to steam power after 1913.","mv,hr",,a,43.451665,-86.995156,geocoded_lake_centroid
A. M. P.,none,208599,gas screw passenger vessel,"1911, Detroit","56x13x7, 33g 16n","1912, Aug 14",Dennis Island,Detroit R.,fire,none of 2,none,?,Caught fire and burned to a total loss.,"mv,hr,wl",,a,42.423809,-82.553642,geocoded_direct_lake_corrected
A. L. ABBELL,none also seen as C L ABELL,none,"schooner, wood","1855, Geo. Hardison, Buffalo",64 t.,"1861, Nov","Waugoschance Pt., Straits of Mackinac",Michigan,storm,none mentioned,none,500 half-barrels fish,"Struck bottom in shallows and wrecked. A group from Mackinac sent to pull her off stripped and abandoned her instead. Master: Capt. Stoddard. Out of Grand Traverse [Traverse City], Mich","slh,hgl,nsp,umr,wmn",,a,43.728,-86.773,geocoded_direct_lake_corrected
ABBEY,also seen as ABBY,none,"schooner, wood","1847, Ambrose Morgan, Oswego, NY",117 t.,"1851, Oct 5","near Black River, Oh",Erie,(storm),none,none,coal,"Ashore and wrecked, a total loss of $3,500. Out of Oswego, owned by H. Matthews. Also wrecked on Jan. 1 of the same year near Sodus, NY","hgl ,wmn,rp,nsp,wl,wmhs",,a,42.481249,-80.62849,estimated_from_place_text_lake_corrected
ABBIE,none,106407,"schooner, wood, 2-mast","1886, Ludington",88x22x6 88g 83n,"1905, Nov 8","Portage Lake entry, near Manistee, MI",Michigan,storm,none,none,bark,"Driven ashore and wrecked. Crew of 4 saved by lightkeeper and Manistee Lifesaving Service. Went to pieces in a few hours. Bound Beaver Isl. for Milwaukee. Not lost near the Keweenaw, Lake Superior, as sometimes stated.","nsp,h,mv,ks,eas,lss,glmd","Photo: ABBIE at Sheboygan, 1901",a,43.281598,-86.571769,estimated_from_place_text_lake_corrected
GEORGE M. ABEL,"built as brig JOHN YOUNG, renamed by 1864. also seen as GEORGE M. ABELL & ABLE",10219,"schooner, wood, 2-mast","1852, J & J Abbey, Pt. Robinson, Ont. as a brig","97x20x9, 146t","1871, Aug 29","near Port Burwell, Ont",Erie,storm,?,none,?,Went on a reef and broke up. Hailed from Cleveland. May have been recovered. Reported as receiving repairs in 1871. Sometimes reported as still a brig at this time.,"nsp,sagl,h,win,hgl,rsl,wl",,a,41.938439,-81.340384,estimated_from_place_text
ABERCORN,none,105361,"propeller, wood, bulk freight “rabbit”","1873, Morley & Hill, Marine City, MI",126x26x11 261g 191n,"1904, Sep 5","At Goderich, Ont.",Huron,fire,none,none,coal,"Burned at a dock while unloading. She reportedly caught fire from the explosion of signal lamp. Her remains were abandoned in place, but one source states that the hulk was sold Canadian in 1905. Owned by her master and her engineer Capt..W. Willoughby and Richard Baxter of Cleveland, who had staked their all on her the previous year.","nsp,phr,slh,ns1,h,mv,mpl,es,glmd",Photo: ABERCORN,a,43.75887,-81.703102,estimated_from_place_text_lake_corrected
ABERDEEN,none,C94924,"propeller, wood, bulk freight “rabbit”","1894, J.Tait, Picton, Ont.",100x22x9 142gc,"1918, Mar 11","At Picton, Ont., Bay of Quinte",Ontario,fire,none,none,none,"Burned in harbor in winter quarters, at the “Ways,” Hepburn Shipyard. Part of the large Hepburn Fleet. Year of loss also given as 1917.","mmgl,ns2,h,csv,hgl,hcgl,glmd","Photo: ABERDEEN at Picton, 1894",a,43.567902,-77.23482,geocoded_near_at_lake_corrected
ABERNETHY,none,C130386,wooden dredge,"1910, Amherstburg, Ont.","86x26x6, 260 t","1914, Oct 24","Pelee Isl., Ont.",Erie,fire,none mentioned,none,?,"Burned, probably in the harbor","win,h,hr",,a,41.614023,-82.504884,estimated_from_place_text
ABIAH,none,none,"schooner or brig, wood, 2-mast","1848, Irving, NY","134x27x11, 353 t [om]","1854, Sep 1","about 10 miles off Sheboygan, WI",Michigan,storm,none,none,light,"Bound Chicago for Oconto, WI, she capsized in a squall and sank, a total loss. Her crew and 2 passengers were rescued by the passing schooner L. LUDDINGTON (sic). Out of Chicago","bb,nsp,hgl,hr,glmd",,a,43.312096,-86.588825,estimated_from_place_text_lake_corrected
